full form,short form
United States of America,USA
National Remote Sensing Centre,NRSC
Unmanned Aerial Vehicle,UAV
Indian Space Research Organisation,HSFC
Department of Space,DoS
Indian Regional Navigation Satellite System,IRNSS
Tata Institute of Fundamental Research,TIFR
geographic information system,GIS
International Space Station,ISS
"Europe), and CSA (Canada",ESA
Satish Dhawan Space Centre,SDSC
Sriharikota Range,SHAR
Institutes of Technology,IITs
"is autonomous, linked to the others through a common council",IIT Council
Massachusetts Institute of Technology,MIT
Thumba Equatorial Rocket Launching Station,TERLS
National Health Service,NHS
Atal Mission for Rejuvenation and Urban Transformation,AMRUT
Indian National Committee for Space Research,INCOSPAR
Department of Atomic Energy,DAE
Polar Satellite Launch Vehicle,PSLV
Indian Remote Sensing,IRS
Geostationary Transfer Orbit,GTO
Ultraviolet,UV
Japan Aerospace Exploration Agency,JAXA
Institute of Space and Astronautical Science,ISAS
National Aerospace Laboratory of Japan,NAL
National Space Development Agency of Japan,NASDA
Ministry of Internal Affairs and Communications,MIC
Information technology,IT
information and communications technology,ICT
information technology system,IT system
Artificial intelligence,AI
Mesosphere-Stratosphere-Troposphere,MST
U R Rao Satellite Centre,URSC
ISRO Satellite Centre,ISAC
Indian Scientific Satellite Project,ISSP
Northern and Eastern Railway,N&ER
Santa Cruz Operation,SCO
Single UNIX Specification,SUS
Secure Shell Protocol,SSH
Remote Shell,rsh
Defence Research and Development Organisation,DRDO
Defence Research & Development Service,DRDS
NASA-ISRO Synthetic Aperture Radar,NISAR
rate one turn,ROT
overhead camshaft,OHC
overhead valve engines,OHV
Single overhead camshaft,SOHC
"U.S.A. or USA), commonly known as the United States",U.S. or US
million square kilometers,miles
GEO augmented navigation,GAGAN
satellite-based augmentation system,SBAS
Airports Authority of India,AAI
two-stage-to-orbit,TSTO
Very High Resolution Radiometer,VHRR
Greenwich Mean Time,GMT
"Development, Concepts and Doctrine Centre",DCDC
United Kingdom,UK
Ministry of Defence’s,MOD's
Joint Doctrine and Concepts Centre,JDCC
Vice Chief of the Defence Staff,VCDS
Small Satellite Launch Vehicle,SSLV
Vikram Sarabhai Space Centre,VSSC
Small Satellite Launch Complex,SSLC
Reichsluftverteidigung,RLV
very-small-aperture terminal,VSAT
Indian National Center for Ocean Information Services,INCOIS
Ministry of Earth Sciences,MoES
Earth System Science Organization,ESSO
Department of Ocean Development,DOD
potential fishing zone,PFZ
synthetic aperture radars,SAR
special weapons and tactics,SWAT
paramilitary police units,PPUs
Meteorological and Oceanographic Satellite Data Archival Centre,MOSDAC
Space Applications Centre,SAC
Satellite data based Meteorology And Oceanography Research and Training,SMART
MOSDAC Research and Training Division,MRTD
unmanned aerial vehicle,UAV
unmanned aircraft system,UAS
remotely-piloted aircraft,RPA
Data Management and Archive Station,DMAS
Jet Propulsion Laboratory,JPL
California Institute of Technology,Caltech
Global Positioning System,GPS
global navigation satellite systems,GNSS
Satellite with ARgos and ALtiKa,SARAL
Centre National d'Études Spatiales,CNES
sea surface height,SSH
Quasi-Zenith Satellite System,QZSS
Advanced Space Business Corporation,ASBC
Satellite Positioning Research and Application Center,SPAC
Electronic news-gathering,ENG
digital satellite news gathering,DSNG
German International School Boston,GISB
Bundesverwaltungsamt,BVA
Institute of Space Science and Technology,IIST
National Aeronautics and Space Administration,NASA
National Advisory Committee for Aeronautics,NACA
Nuclear magnetic resonance,NMR
field,field
magnetic resonance imaging,MRI
NewSpace India Limited,NSIL
Public Sector Undertaking,PSU
Lunar Polar Exploration mission,LUPEX
"RennSport Rennwagen""",RSR
Explorer 91 or SMEX-10,Explorer
energetic neutral atoms,ENAs
Southwest Research Institute,SwRI
Geosynchronous Satellite Launch Vehicle,GSLV
original equipment manufacturer,OEM
"Positioning, Navigation and Timing",PNT
global navigation satellite system,GNSS
Global Navigation Satellite System,GLONASS
BeiDou Navigation Satellite System,BDS
medium Earth orbit,MEO
Internal Revenue Service,IRS
Monsters,Monsters
(1989,DOS
GPS satellite blocks,IIRS
Dr. No,DR
AQP7,AQP
Nicotinamide adenine dinucleotide,NAD
Ecuador at the Pan American Games,AT
Las Vegas,LAS
2,II
Infrastructure Leasing & Financial Services,FS
Osteopathic medicine in the United States,OMT
FSI International,FSI
.td,TD
Ner,NER
DM,DMS
Abhay Karandikar,TSDSI
.cs,CS
Rh blood group system,RH
CPM 22,CPM
.br,BR
Malaysia Airlines Flight 17,MH
.es,ES
Backdrop CMS,CMS
Marylebone Cricket Club,MCC
3GPP,GPP
.cr,CR
Loi,LOI
Liquid Propulsion Systems Centre,LPSC
RISAT-1A,RISAT
NEC Nijmegen,NEC
HD+,HD
CME Group,CME
GSAT-30,GSAT
Hal,HAL
MCF-7,MCF
OSF/1,OSF
.aw,AW
RD-180,RD
Ministry of State Security (China),MSS
Q (New York City Subway service),BMT
POC Sports,POC
Oil content meter,OCM
3,III
Satcom (satellite),SATCOM
Parsec,PC
Sit-in,SIT
Consumer Electronics Show,CES
ENIAC Day,ENIAC
Indian Institute of Remote Sensing,NRSA
TTS-IS,TTS
Trademark symbol,TM
"London, Midland and Scottish Railway",LMS
IA-32,IA
Aia,AIA
PRL nostalgia,PRL
Copula (linguistics),IS
North American XB-70 Valkyrie,XB
.22 CB,CB
