full form,short form
United States of America,USA
National Remote Sensing Centre,NRSC
Unmanned Aerial Vehicle,UAV
Vikram Sarabhai Space Centre,VSSC
Indian Space Research Organisation,HSFC
Thumba Equatorial Rocket Launching Station,TERLS
Institutes of Technology,IITs
"is autonomous, linked to the others through a common council",IIT Council
Massachusetts Institute of Technology,MIT
"Development, Concepts and Doctrine Centre",DCDC
United Kingdom,UK
Ministry of Defence’s,MOD's
Joint Doctrine and Concepts Centre,JDCC
Vice Chief of the Defence Staff,VCDS
GEO augmented navigation,GAGAN
satellite-based augmentation system,SBAS
Airports Authority of India,AAI
Artificial intelligence,AI
NewSpace India Limited,NSIL
Public Sector Undertaking,PSU
Department of Space,DoS
original equipment manufacturer,OEM
Explorer 91 or SMEX-10,Explorer
energetic neutral atoms,ENAs
Southwest Research Institute,SwRI
Secure Shell Protocol,SSH
Remote Shell,rsh
National Aeronautics and Space Administration,NASA
National Advisory Committee for Aeronautics,NACA
geographic information system,GIS
Japan Aerospace Exploration Agency,JAXA
Institute of Space and Astronautical Science,ISAS
National Aerospace Laboratory of Japan,NAL
National Space Development Agency of Japan,NASDA
Ministry of Internal Affairs and Communications,MIC
"U.S.A. or USA), commonly known as the United States",U.S. or US
million square kilometers,miles
Mesosphere-Stratosphere-Troposphere,MST
overhead camshaft,OHC
overhead valve engines,OHV
Single overhead camshaft,SOHC
Satish Dhawan Space Centre,SDSC
Sriharikota Range,SHAR
Monsters,Monsters
Indian Regional Navigation Satellite System,IRNSS
Electronic news-gathering,ENG
digital satellite news gathering,DSNG
Greenwich Mean Time,GMT
Nuclear magnetic resonance,NMR
field,field
magnetic resonance imaging,MRI
NASA-ISRO Synthetic Aperture Radar,NISAR
Internal Revenue Service,IRS
Institute of Space Science and Technology,IIST
Geosynchronous Satellite Launch Vehicle,GSLV
German International School Boston,GISB
Bundesverwaltungsamt,BVA
Atal Mission for Rejuvenation and Urban Transformation,AMRUT
Defence Research and Development Organisation,DRDO
Defence Research & Development Service,DRDS
Quasi-Zenith Satellite System,QZSS
Global Positioning System,GPS
Advanced Space Business Corporation,ASBC
Satellite Positioning Research and Application Center,SPAC
Ultraviolet,UV
two-stage-to-orbit,TSTO
Meteorological and Oceanographic Satellite Data Archival Centre,MOSDAC
Space Applications Centre,SAC
Satellite data based Meteorology And Oceanography Research and Training,SMART
MOSDAC Research and Training Division,MRTD
(1989,DOS
synthetic aperture radars,SAR
Data Management and Archive Station,DMAS
Santa Cruz Operation,SCO
Single UNIX Specification,SUS
International Space Station,ISS
"Europe), and CSA (Canada",ESA
Northern and Eastern Railway,N&ER
Satellite with ARgos and ALtiKa,SARAL
Centre National d'Études Spatiales,CNES
sea surface height,SSH
Information technology,IT
information and communications technology,ICT
information technology system,IT system
Tata Institute of Fundamental Research,TIFR
"RennSport Rennwagen""",RSR
Indian National Committee for Space Research,INCOSPAR
global navigation satellite systems,GNSS
rate one turn,ROT
Jet Propulsion Laboratory,JPL
California Institute of Technology,Caltech
Small Satellite Launch Vehicle,SSLV
Small Satellite Launch Complex,SSLC
Lunar Polar Exploration mission,LUPEX
Very High Resolution Radiometer,VHRR
Indian National Center for Ocean Information Services,INCOIS
Ministry of Earth Sciences,MoES
Earth System Science Organization,ESSO
Department of Ocean Development,DOD
potential fishing zone,PFZ
Reichsluftverteidigung,RLV
National Health Service,NHS
very-small-aperture terminal,VSAT
Polar Satellite Launch Vehicle,PSLV
Indian Remote Sensing,IRS
Geostationary Transfer Orbit,GTO
special weapons and tactics,SWAT
paramilitary police units,PPUs
unmanned aerial vehicle,UAV
unmanned aircraft system,UAS
remotely-piloted aircraft,RPA
"Positioning, Navigation and Timing",PNT
global navigation satellite system,GNSS
Global Navigation Satellite System,GLONASS
BeiDou Navigation Satellite System,BDS
medium Earth orbit,MEO
Department of Atomic Energy,DAE
U R Rao Satellite Centre,URSC
ISRO Satellite Centre,ISAC
Indian Scientific Satellite Project,ISSP
Las Vegas,LAS
ASB Bank,ASB
North American XB-70 Valkyrie,XB
2,II
Guatemala at the Pan American Games,AT
.cr,CR
CME Group,CME
Maw sit sit,SIT
Nicotinamide adenine dinucleotide,NAD
3GPP,GPP
Proto-Oceanic language,POC
GPS satellite blocks,IIRS
Texas State Technical College,TSTC
Consumer Electronics Show,CES
Audi TT,TTS
3,III
.br,BR
RD-180,RD
"London, Midland and Scottish Railway",LMS
Satcom (satellite),SATCOM
Marylebone Cricket Club,MCC
Backdrop CMS,CMS
Q (New York City Subway service),BMT
OSF/1,OSF
Aia,AIA
Loi,LOI
Rh blood group system,RH
Richat Structure,RISAT
FSI International,FSI
Liquid Propulsion Systems Centre,LPSC
Inter FS,FS
CS gas,CS
GSAT-30,GSAT
PRL Museum,PRL
Ministry of State Security (China),MSS
Sikorsky SH-60 Seahawk,MH
MCF-7,MCF
ENIAC Day,ENIAC
IA-32,IA
DM,DMS
Research and Analysis Wing,AW
Copula (linguistics),IS
NEC Nijmegen,NEC
Indian Institute of Remote Sensing,NRSA
Osteopathic medicine in the United States,OMT
Dr. No,DR
.td,TD
Google,CPM
Aquaporin 4,AQP
.es,ES
.22 CB,CB
HD+,HD
Abhay Karandikar,TSDSI
Parsec,PC
OCMS,OCM
Toronto Transit Commission,TTC
