phrases
13-05
08-01
12-01
on-board
11-11
self-reliant
28-04
04-01
25-08
01-04
2015-2019
06-01
05-01
13-12
03-01
female-looking
10-03
22-01
co-passenger
large-scale
11-01
25-04
16-09
01-01
15-07
08-09
07-01
self-reliance
11-06
12-04
09-01
phrases
Yuri Gagarin
Valentina Tereshkova
lifted off
full form
Vikram Sarabhai
sounding rockets
Remote Sensing
Launch Pad
Prime Minister
carried out
remote sensing
Bhuvan Geoportal
X Ray
SDSC SHAR
SHAR Sriharikota
Orbiter Mission
night
Roman Gods
New Horizons
Milky Way
Olympus Mons
Soviet Union
S Africa
Saturnian Moon Titan
first Mapping Satellite
Solar System
Morning Star or Evening Star
Hottest Planet
Russian Federal Space Agency
Equatorial Circumference of
Andromeda Galaxy
Institute of Remote Sensing
Indian Space Agency
ISS Technology
Progressive Brothers
Network Monitoring Facility
X Ray
Planet Labs
Oceansat 3
Ministry of Agriculture and Farmers Welfare
Payload Operations System
AstroSat Antenna
Indian Ocean
Cartosat2
HU Space Flight Centre
BMT Ceramics
Mobile Phone Manufacturers
Automation Software
Indian ISS Technology
APEX
ISRO DSR Quality
Occupational Health and Safety
John Glenn
Cold War
Blue Origin
Russian Federation's
Space Race
Soviet Union
HII Transfer Vehicle
Apollo 13
XCOR Aerospace
Artemis 1
Spiro Agnew
Space Task Group
US Gemini
Apollo 11
Apollo 8
Flight VP03
Bill Clinton
Lunar Polar Exploration Mission
Chandrayaan III
Thumba Space Science and Technology Centre
Integrated Space Cell
Indian National Satellite System
Indian National Satellite
Indian Space Program
Research Organisation
Indian Institute of Space
Space Pioneer Award
Chandrayaan II
National Lunar Mission Task Force
GSLV Mk III
Indian Satellite System
Thumba Kerala
Indian National Satellite INSTA
Crew Module
Intelligence Which
Indian Space Research and Organization
Xichang Satellite Launch Centre of South Western Sichuan Province
Charles Simonyi
Sunita Williams
Arnaldo Tamayo Mendez
Yuri Gagarin
Eight one third minutes
Space Commission
Chandra Moon
Adrin Nikolayev
Vitaly Sevastyanosov
Soyuz 9
Yuri Gagarin Russian
Valentina Tereshkova
Edward White
"17th July,1975"
Remek Czechoslovakia
Rakesh Sharma
Gordon Cooper USA
Lunik II
Surveyor III USA
Apollo CAM USA
Apollo 8 USA
Apollo 9 USA
Kalpana Chawla
Bill Shepherd
Sergei Krikalev
Tito USA
Claudie Haignere
Mark Shuttleworth
Yang Liwei
Cassini Spacecraft
CARTOSAT I Launched
Japanese Aerospace Exploration Agency JAXA
New Horizons US
Charles Babbage
University of Pennsylvania
Rajendra Prasad
Vikram Sarabhai
New Delhi
Scientist Sivan K
99.8 percent
8 minutes
Halley's Comet
Pluto Ceres
Eris Makemake
Neil Armstrong
2250 km per hour
Equatorial Circumference of Earth
Charon Nix
Hydra Kerberos
GSLV Mark III
Nike Apache
IIRS Dehradun
Remote Sensing
Matrix Management Structure
DTH TV
United Nations Education Scientific Cooperation Organisation
Antrix Corporation Limited
RLV Technology
TM Tracking Command Network
First Launch Pad
Jawaharlal Nehru
ISRO Which
India Meteorological Department
Projects and Entities
Launch Vehicle
LPSC Bangalore
Hyderabad Telangana
Centaure1 11
South Indian
GSLV Which
TM Tracking and Command
Launch Vehicles
Air Breathing Propulsion
Kailasavadivoo Sivan INSPACe
Indian ISS Technology IIST
Valiamala Nedumangad Thiruvananthapuram
National Research Institute
DS Government of
Ponmudi Hills Thiruvananthapuram
NorthEastern SAC
Network Monitoring Facility
Mobile Telemedicine
Ophthalmology Cardiology Radiology Diabetology Mammography General
Rishikesh Badrinath
Rishikesh Uttarkashi
Gaumukh Chamoli
International Charter Space
Authorised Users
Doordarshan TV
INSAT3 INSAT3C
EDUSAT Programme
Indian MCC INMCC
ISTRAC Bengaluru
ISTRAC Bangalore
Telemedicine Programme
EDUSAT GSAT3
Bhuvan Geoportal
Terrestrial Aerial
Timing Mapping and Geodetic
Management Support India
Telemedicine and Village Resource Centres
ISRO Telemedicine
North Eastern States
Guwahati Assam
NorthEast Region
EDSAT Networks
Tele Education Programme
Digital Surface Models
Health Agriculture Forestry
X Ray
Solar System
Historically Optical
Isaac Newton
NSIL NSIL
First Launch Pad
1024 hours
24 to 48 hours
National State and Local
IRS 1 LISSII
Landsat TM MSS
Natural Resources Census
Land Degradation
Geomorphological Lineament
Satellite Communication
TV DTH Broadcasting DSNG
Prohibited Protected Regulated
Teleeducation Telemedicine Village Resource Centre VRC
DMS Programmes
Ministry of Agriculture and Farmers Welfare
ISRO DOS Centres
Wetlands Forest
Agricultural Crops Inventory Water Resources
Ground Water Prospects Forest
Glacial Lakes Water Bodies Location Based Services
Disaster Management Support Programme Cyclone
Rabi Kharif
II Data
Government Academia
DTH Broadcasting
Horticultural Crops
Ministry of Housing and Urban Affairs
Global Horizontal
Central State Government
Natural Resources
AstroSat Antenna
AstroSat TTC
SHAR Sriharikota
Indian Deep Space Network Complex
1541 hours
IRS Series
Sentinel Series
StateCentral Governments
Chip Manufacturers
LAS X Ray Spectrometer
Power Transmissions
Dadri Patna Shillong Boisar
a Proof of Concept
MSS Service
GSLV MK III
an I3K Extended
I3K
INSAT 3D
Spectrometer IIRS
INCOIS NavIC
Terrestrial VSAT
Extended Cband
NRSC ISRO
S200 one
Satellite Centre
Extended C
Indian ISS Technology IIST Asia's
first Space University
Indian Space Programme
GSLV Mk III M1
High Thrust Vikas Engine
HU Rated
GSLV MkIII
Indian National Satellite INSAT
User Agencies
Umbilical Tower
Payload Assembly Integration
Bopal Ahmedabad
XBand SAR Based
Indian Industries
Chandras Atmospheric Composition
12 Normal Cband
NavICGAGAN Utilization Programme
INSAT Coordination Committee
APEX Science Board ASB
ISRO Headquarters
Indian Space Programme
Centralised Induction Training Programme
ISRO Technical Standards ITecS
ISRO Centres
Non Conformances
Iraqi News Agency
Space Shuttle
Virgin Galactic
Sierra Nevadahave
North Korea
Kawasaki Heavy Industries
Justspace Alliance
Project Mercury
